# generated_at: 2026-04-25T12:39:21Z
# git_commit: 24f0948
# command: target/release/examples/cardiac_baselines --seed 42 --beats-per-class 30 --write
# dataset_type: synthetic
# dataset_name: uc01_synth_v0.2_seed42_bpc30
# synthetic_generator_version: 0.2.0
# seed: 42
# sample_rate_hz: 1000
# window_size_ms: 1
# limitations: Synthetic ECG only — no real-patient validation yet. | Frequency-encoded inputs; not a clinical waveform analyser. | Rate-regime triage only; no morphology, no AF, no VT, no ST analysis. | Not a medical device. Research / embedded prototype only.
scenario,system,total,correct,accuracy,macro_f1,weighted_f1,balanced_accuracy,recall_Normal,recall_Tachy,recall_Brady,recall_Irregular
clean,CricketBrain,110,98,0.890909,0.895882,0.893989,0.892857,1.000000,0.785714,0.785714,1.000000
clean,ThresholdBurst,110,98,0.890909,0.895882,0.893989,0.892857,1.000000,0.785714,0.785714,1.000000
clean,FrequencyRule,20,11,0.550000,0.236559,0.390323,0.333333,0.000000,1.000000,0.000000,0.000000
noise_2pct,CricketBrain,101,56,0.554455,0.484146,0.497260,0.531401,0.347826,0.000000,0.777778,1.000000
noise_2pct,ThresholdBurst,110,98,0.890909,0.895882,0.893989,0.892857,1.000000,0.785714,0.785714,1.000000
noise_2pct,FrequencyRule,20,11,0.550000,0.236559,0.390323,0.333333,0.000000,1.000000,0.000000,0.000000
wander_200hz,CricketBrain,106,82,0.773585,0.774153,0.773368,0.772792,1.000000,0.629630,0.461538,1.000000
wander_200hz,ThresholdBurst,110,98,0.890909,0.895882,0.893989,0.892857,1.000000,0.785714,0.785714,1.000000
wander_200hz,FrequencyRule,20,11,0.550000,0.236559,0.390323,0.333333,0.000000,1.000000,0.000000,0.000000
hrv_10pct,CricketBrain,110,88,0.800000,0.804487,0.800932,0.803571,1.000000,0.714286,0.500000,1.000000
hrv_10pct,ThresholdBurst,110,88,0.800000,0.804487,0.800932,0.803571,1.000000,0.714286,0.500000,1.000000
hrv_10pct,FrequencyRule,16,10,0.625000,0.256410,0.480769,0.333333,0.000000,1.000000,0.000000,0.000000
missing_qrs_10pct,CricketBrain,96,47,0.489583,0.468641,0.466788,0.498676,0.565217,0.083333,0.346154,1.000000
missing_qrs_10pct,ThresholdBurst,96,47,0.489583,0.468641,0.466788,0.498676,0.565217,0.083333,0.346154,1.000000
missing_qrs_10pct,FrequencyRule,15,9,0.600000,0.250000,0.450000,0.333333,0.000000,1.000000,0.000000,0.000000
