# generated_at: 2026-04-25T09:56:19Z
# git_commit: 4fdcfe7
# command: target/release/examples/cardiac_mitbih --csv /home/user/cricket-brain/use_cases/01_cardiac_arrhythmia/data/processed/sample_record.csv --write
# dataset_type: csv
# dataset_name: /home/user/cricket-brain/use_cases/01_cardiac_arrhythmia/data/processed/sample_record.csv
# synthetic_generator_version: 0.2.0
# seed: 0
# sample_rate_hz: 1000
# window_size_ms: 1
# limitations: Synthetic ECG only — no real-patient validation yet. | Frequency-encoded inputs; not a clinical waveform analyser. | Rate-regime triage only; no morphology, no AF, no VT, no ST analysis. | Not a medical device. Research / embedded prototype only.
metric,value
total,147
correct,132
accuracy,0.897959
macro_f1,0.932343
balanced_accuracy,0.900000
recall_Normal,1.000000
precision_Normal,0.940000
recall_Tachy,0.840000
precision_Tachy,0.976744
recall_Brady,0.860000
precision_Brady,1.000000
