# generated_at: 2026-04-25T12:39:14Z
# git_commit: 24f0948
# command: target/release/examples/cardiac_drift_sweep --seed 42 --write
# dataset_type: synthetic_drift
# dataset_name: uc01_drift_seed42_bpc25
# synthetic_generator_version: 0.2.0
# seed: 42
# sample_rate_hz: 1000
# window_size_ms: 1
# limitations: Synthetic recording with deterministic carrier-frequency drift applied to all non-silent samples. | Probes ONLY carrier-frequency robustness — not amplitude noise, not morphology drift, not RR variability. | Nominal QRS carrier: 4500 Hz. ThresholdBurstBaseline default band: ±10 % of carrier. CricketBrain default `min_freq=4000, max_freq=5000` Hz. | Not a medical device.
carrier_offset_pct,system,total,correct,accuracy,macro_f1,weighted_f1,balanced_accuracy,recall_Normal,recall_Tachy,recall_Brady,recall_Irregular
-20.0000,CricketBrain,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-20.0000,ThresholdBurst-rule,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-20.0000,FrequencyRule,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-15.0000,CricketBrain,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-15.0000,ThresholdBurst-rule,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-15.0000,FrequencyRule,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-10.0000,CricketBrain,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-10.0000,ThresholdBurst-rule,90,78,0.866667,0.873276,0.870460,0.869565,1.000000,0.739130,0.739130,1.000000
-10.0000,FrequencyRule,14,7,0.500000,0.222222,0.333333,0.333333,0.000000,1.000000,0.000000,0.000000
-7.0000,CricketBrain,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-7.0000,ThresholdBurst-rule,90,78,0.866667,0.873276,0.870460,0.869565,1.000000,0.739130,0.739130,1.000000
-7.0000,FrequencyRule,14,7,0.500000,0.222222,0.333333,0.333333,0.000000,1.000000,0.000000,0.000000
-5.0000,CricketBrain,90,78,0.866667,0.873276,0.870460,0.869565,1.000000,0.739130,0.739130,1.000000
-5.0000,ThresholdBurst-rule,90,78,0.866667,0.873276,0.870460,0.869565,1.000000,0.739130,0.739130,1.000000
-5.0000,FrequencyRule,14,7,0.500000,0.222222,0.333333,0.333333,0.000000,1.000000,0.000000,0.000000
-3.0000,CricketBrain,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-3.0000,ThresholdBurst-rule,90,78,0.866667,0.873276,0.870460,0.869565,1.000000,0.739130,0.739130,1.000000
-3.0000,FrequencyRule,14,7,0.500000,0.222222,0.333333,0.333333,0.000000,1.000000,0.000000,0.000000
-1.0000,CricketBrain,90,78,0.866667,0.873276,0.870460,0.869565,1.000000,0.739130,0.739130,1.000000
-1.0000,ThresholdBurst-rule,90,78,0.866667,0.873276,0.870460,0.869565,1.000000,0.739130,0.739130,1.000000
-1.0000,FrequencyRule,14,7,0.500000,0.222222,0.333333,0.333333,0.000000,1.000000,0.000000,0.000000
0.0000,CricketBrain,90,78,0.866667,0.873276,0.870460,0.869565,1.000000,0.739130,0.739130,1.000000
0.0000,ThresholdBurst-rule,90,78,0.866667,0.873276,0.870460,0.869565,1.000000,0.739130,0.739130,1.000000
0.0000,FrequencyRule,14,7,0.500000,0.222222,0.333333,0.333333,0.000000,1.000000,0.000000,0.000000
1.0000,CricketBrain,90,78,0.866667,0.873276,0.870460,0.869565,1.000000,0.739130,0.739130,1.000000
1.0000,ThresholdBurst-rule,90,78,0.866667,0.873276,0.870460,0.869565,1.000000,0.739130,0.739130,1.000000
1.0000,FrequencyRule,14,7,0.500000,0.222222,0.333333,0.333333,0.000000,1.000000,0.000000,0.000000
3.0000,CricketBrain,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.0000,ThresholdBurst-rule,90,78,0.866667,0.873276,0.870460,0.869565,1.000000,0.739130,0.739130,1.000000
3.0000,FrequencyRule,14,7,0.500000,0.222222,0.333333,0.333333,0.000000,1.000000,0.000000,0.000000
5.0000,CricketBrain,90,78,0.866667,0.873276,0.870460,0.869565,1.000000,0.739130,0.739130,1.000000
5.0000,ThresholdBurst-rule,90,78,0.866667,0.873276,0.870460,0.869565,1.000000,0.739130,0.739130,1.000000
5.0000,FrequencyRule,14,7,0.500000,0.222222,0.333333,0.333333,0.000000,1.000000,0.000000,0.000000
7.0000,CricketBrain,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7.0000,ThresholdBurst-rule,90,78,0.866667,0.873276,0.870460,0.869565,1.000000,0.739130,0.739130,1.000000
7.0000,FrequencyRule,14,7,0.500000,0.222222,0.333333,0.333333,0.000000,1.000000,0.000000,0.000000
10.0000,CricketBrain,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10.0000,ThresholdBurst-rule,90,78,0.866667,0.873276,0.870460,0.869565,1.000000,0.739130,0.739130,1.000000
10.0000,FrequencyRule,14,7,0.500000,0.222222,0.333333,0.333333,0.000000,1.000000,0.000000,0.000000
15.0000,CricketBrain,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
15.0000,ThresholdBurst-rule,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
15.0000,FrequencyRule,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
20.0000,CricketBrain,90,78,0.866667,0.873276,0.870460,0.869565,1.000000,0.739130,0.739130,1.000000
20.0000,ThresholdBurst-rule,90,78,0.866667,0.873276,0.870460,0.869565,1.000000,0.739130,0.739130,1.000000
20.0000,FrequencyRule,14,7,0.500000,0.222222,0.333333,0.333333,0.000000,1.000000,0.000000,0.000000
