# generated_at: 2026-04-25T12:39:14Z
# git_commit: 24f0948
# command: target/release/examples/cardiac_mitbih_baselines --records-dir /tmp/mitbih_ds2 --aami-split ds2 --ground-truth hybrid --write
# dataset_type: mitbih_csv
# dataset_name: uc01_mitbih_baselines_DS2_22records
# synthetic_generator_version: 0.2.0
# seed: 0
# sample_rate_hz: 1000
# window_size_ms: 1
# limitations: Real MIT-BIH records (PhysioNet, ODC-By v1.0). | Rate-regime triage only; ground truth from annotation RR intervals via 5-beat sliding window (mitbih::rate_regime_truth). | Three systems compared on the same emissions: CricketBrain, ThresholdBurstBaseline, FrequencyRuleBaseline. | AAMI EC57:2012 record set: DS2. CricketBrain has no training phase, so DS1/DS2 are used purely as canonical record lists. | Not a medical device. Research / embedded pre-screening prototype only.
record_id,system,total,correct,accuracy,macro_f1,weighted_f1,balanced_accuracy,recall_Normal,recall_Tachy,recall_Brady,recall_Irregular,precision_Normal,precision_Tachy,precision_Brady,precision_Irregular
100,CricketBrain,2266,2074,0.915269,0.955760,0.955760,0.915269,0.915269,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
100,ThresholdBurst-rule,2265,2073,0.915232,0.955740,0.955740,0.915232,0.915232,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
100,FrequencyRule,465,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
103,CricketBrain,2077,2033,0.978816,0.989294,0.989294,0.978816,0.978816,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
103,ThresholdBurst-rule,2076,2032,0.978805,0.989289,0.989289,0.978805,0.978805,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
103,FrequencyRule,279,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
105,CricketBrain,2370,1815,0.765823,0.331318,0.849954,0.588913,0.766739,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.067227
105,ThresholdBurst-rule,2369,1828,0.771634,0.333531,0.853706,0.590896,0.772688,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.068847
105,FrequencyRule,667,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
111,CricketBrain,2114,2065,0.976821,0.988275,0.988275,0.976821,0.976821,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
111,ThresholdBurst-rule,2113,2064,0.976810,0.988269,0.988269,0.976810,0.976810,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
111,FrequencyRule,320,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
113,CricketBrain,1417,1259,0.888497,0.902944,0.915898,0.866601,0.793939,0.000000,0.939262,0.000000,0.937947,0.000000,0.952695,0.000000
113,ThresholdBurst-rule,1416,1271,0.897599,0.909184,0.923711,0.873626,0.793939,0.000000,0.953312,0.000000,0.940191,0.000000,0.961665,0.000000
113,FrequencyRule,38,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
117,CricketBrain,1518,1512,0.996047,0.625000,0.995306,0.714286,0.142857,0.000000,1.000000,1.000000,1.000000,0.000000,1.000000,0.454545
117,ThresholdBurst-rule,1517,1512,0.996704,0.703704,0.996338,0.761905,0.285714,0.000000,1.000000,1.000000,1.000000,0.000000,1.000000,0.500000
117,FrequencyRule,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
121,CricketBrain,1699,1608,0.946439,0.671817,0.963047,0.965363,0.918618,0.000000,0.977472,1.000000,0.984468,0.000000,0.983627,0.044118
121,ThresholdBurst-rule,1698,1627,0.958186,0.680244,0.974425,0.973270,0.928571,0.000000,0.991239,1.000000,0.996407,0.000000,0.993726,0.045455
121,FrequencyRule,76,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
123,CricketBrain,1429,1354,0.947516,0.773005,0.966119,0.679628,0.400000,0.000000,0.959257,0.000000,1.000000,0.000000,0.990406,0.000000
123,ThresholdBurst-rule,1428,1363,0.954482,0.864091,0.973388,0.781044,0.600000,0.000000,0.962089,0.000000,1.000000,0.000000,0.994822,0.000000
123,FrequencyRule,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
200,CricketBrain,2082,1596,0.766571,0.638517,0.746222,0.601781,0.506229,0.300000,0.000000,0.999114,0.980263,0.700000,0.000000,0.706767
200,ThresholdBurst-rule,2082,1619,0.777618,0.662385,0.759853,0.619055,0.529478,0.328571,0.000000,0.999115,0.987315,0.793103,0.000000,0.714557
200,FrequencyRule,468,7,0.014957,0.009825,0.000441,0.333333,0.000000,1.000000,0.000000,0.000000,0.000000,0.014957,0.000000,0.000000
202,CricketBrain,2061,1644,0.797671,0.780040,0.845668,0.727548,0.537190,0.000000,0.887962,0.757493,0.677083,0.000000,1.000000,0.848423
202,ThresholdBurst-rule,2060,1645,0.798544,0.780836,0.846712,0.728364,0.537190,0.000000,0.891538,0.756364,0.677083,0.000000,1.000000,0.850716
202,FrequencyRule,407,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
210,CricketBrain,2631,1522,0.578487,0.366482,0.731293,0.289905,0.000000,0.000000,0.000000,0.579810,0.000000,0.000000,0.000000,0.996073
210,ThresholdBurst-rule,2631,1521,0.578107,0.366329,0.730988,0.289714,0.000000,0.000000,0.000000,0.579429,0.000000,0.000000,0.000000,0.996071
210,FrequencyRule,835,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
212,CricketBrain,2594,2544,0.980725,0.644457,0.982297,0.817620,0.991321,0.461538,0.000000,1.000000,0.992496,0.857143,0.000000,0.205882
212,ThresholdBurst-rule,2593,2559,0.986888,0.712298,0.988572,0.869953,0.994475,0.615385,0.000000,1.000000,0.995654,0.969697,0.000000,0.241379
212,FrequencyRule,831,5,0.006017,0.005981,0.000072,0.500000,0.000000,1.000000,0.000000,0.000000,0.000000,0.006017,0.000000,0.000000
