# generated_at: 2026-04-25T12:39:09Z
# git_commit: 24f0948
# command: target/release/examples/cardiac_mitbih --records-dir /tmp/mitbih_ds2 --aami-split ds2 --ground-truth hybrid --write
# dataset_type: mitbih_csv
# dataset_name: uc01_mitbih_DS2_22records
# synthetic_generator_version: 0.2.0
# seed: 0
# sample_rate_hz: 1000
# window_size_ms: 1
# limitations: Real MIT-BIH Arrhythmia Database records (PhysioNet, ODC-By v1.0). | Rate-regime triage only — Normal / Tachy / Brady / Irregular. Does NOT classify AAMI N/S/V/F/Q morphology, AF, VT, AVB, BBB, ST-elevation. | Ground truth: hybrid — rhythm annotation when unambiguous (AFIB→Irregular, SBR→Brady, SVTA/VT→Tachy, etc.), else 5-beat RR window. | AAMI EC57:2012 inter-patient evaluation on the DS2 split. CricketBrain has no training phase, so DS1/DS2 are used purely to define a canonical record list. | Not a medical device. Not validated for clinical use. Research / embedded pre-screening prototype only.
record_id,n_beats,n_emissions,n_ground_truth,n_correct,accuracy,macro_f1,recall_Normal,recall_Tachy,recall_Brady,recall_Irregular,aami_N,aami_S,aami_V,aami_F,aami_Q
100,2272,2269,2266,2074,0.915269,0.955760,0.915269,0.000000,0.000000,0.000000,2238,33,1,0,0
103,2083,2080,2077,2033,0.978816,0.989294,0.978816,0.000000,0.000000,0.000000,2081,2,0,0,0
105,2556,2553,2370,1815,0.765823,0.331318,0.766739,0.000000,0.000000,1.000000,2511,0,41,0,4
111,2123,2120,2114,2065,0.976821,0.988275,0.976821,0.000000,0.000000,0.000000,2122,0,1,0,0
113,1795,1792,1417,1259,0.888497,0.902944,0.793939,0.000000,0.939262,0.000000,1789,6,0,0,0
117,1535,1532,1518,1512,0.996047,0.625000,0.142857,0.000000,1.000000,1.000000,1534,1,0,0,0
121,1863,1860,1699,1608,0.946439,0.671817,0.918618,0.000000,0.977472,1.000000,1861,1,1,0,0
123,1517,1514,1429,1354,0.947516,0.773005,0.400000,0.000000,0.959257,0.000000,1514,0,3,0,0
200,2594,2591,2082,1596,0.766571,0.638517,0.506229,0.300000,0.000000,0.999114,1738,30,824,2,0
202,2134,2131,2061,1644,0.797671,0.780040,0.537190,0.000000,0.887962,0.757493,2060,54,19,1,0
210,2644,2641,2631,1522,0.578487,0.366482,0.000000,0.000000,0.000000,0.579810,2421,22,191,10,0
212,2748,2745,2594,2544,0.980725,0.644457,0.991321,0.461538,0.000000,1.000000,2748,0,0,0,0
213,3250,3247,3140,2864,0.912102,0.647879,0.000000,0.910633,0.000000,0.972973,2641,28,219,362,0
214,2257,2254,1819,988,0.543156,0.346063,0.456806,0.000000,0.000000,1.000000,2001,0,253,1,2
219,2153,2150,2044,1263,0.617906,0.279279,0.337500,0.000000,0.000000,0.678375,2081,7,64,1,0
221,2420,2417,2407,2285,0.949314,0.486999,0.000000,0.000000,0.000000,0.949709,2028,0,392,0,0
222,2466,2463,2177,1820,0.836013,0.449652,0.882022,0.000000,0.005682,0.938294,2258,208,0,0,0
228,2047,2044,1777,944,0.531232,0.427969,0.383073,0.000000,0.333333,1.000000,1683,3,361,0,0
231,1570,1567,1444,987,0.683518,0.451729,0.966667,0.000000,0.634146,0.009685,1568,1,1,0,0
232,1746,1743,1741,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,365,1381,0,0,0
233,3059,3056,1406,405,0.288051,0.206364,0.021277,0.164035,0.000000,0.990868,2228,7,813,11,0
234,2752,2749,2723,2664,0.978333,0.620210,0.985741,0.618182,0.000000,1.000000,2699,50,3,0,0
