# generated_at: 2026-04-25T09:56:19Z
# git_commit: 4fdcfe7
# command: target/release/examples/cardiac_reject --seed 42 --beats-per-class 30 --write
# dataset_type: synthetic
# dataset_name: uc01_synth_v0.2_seed42_bpc30
# synthetic_generator_version: 0.2.0
# seed: 42
# sample_rate_hz: 1000
# window_size_ms: 1
# limitations: Synthetic ECG only — no real-patient validation yet. | Frequency-encoded inputs; not a clinical waveform analyser. | Rate-regime triage only; no morphology, no AF, no VT, no ST analysis. | Not a medical device. Research / embedded prototype only.
threshold,covered,correct_covered,coverage,covered_accuracy,forced_accuracy
0.0000,110,96,1.000000,0.872727,0.872727
0.1000,110,96,1.000000,0.872727,0.872727
0.2000,110,96,1.000000,0.872727,0.872727
0.3000,110,96,1.000000,0.872727,0.872727
0.4000,110,96,1.000000,0.872727,0.872727
0.5000,110,96,1.000000,0.872727,0.872727
0.6000,108,96,0.981818,0.888889,0.872727
0.7000,105,95,0.954545,0.904762,0.863636
0.8000,81,74,0.736364,0.913580,0.672727
0.9000,67,67,0.609091,1.000000,0.609091
0.9500,13,13,0.118182,1.000000,0.118182
1.0000,0,0,0.000000,0.000000,0.000000
