# generated_at: 2026-04-25T12:39:21Z
# git_commit: 24f0948
# command: target/release/examples/cardiac_stress_sweep --seed 42 --beats-per-class 20 --write
# dataset_type: synthetic
# dataset_name: uc01_synth_v0.2_seed42_bpc20
# synthetic_generator_version: 0.2.0
# seed: 42
# sample_rate_hz: 1000
# window_size_ms: 1
# limitations: Synthetic ECG only — no real-patient validation yet. | Frequency-encoded inputs; not a clinical waveform analyser. | Rate-regime triage only; no morphology, no AF, no VT, no ST analysis. | Not a medical device. Research / embedded prototype only.
dimension,parameter,value,total,correct,accuracy,macro_f1,weighted_f1,balanced_accuracy,recall_Normal,recall_Tachy,recall_Brady,recall_Irregular,precision_Normal,precision_Tachy,precision_Brady,precision_Irregular
baseline,clean,0,70,57,0.814286,0.823329,0.818281,0.819444,1.000000,0.666667,0.611111,1.000000,1.000000,1.000000,1.000000,0.580645
noise,noise_prob,0,70,57,0.814286,0.823329,0.818281,0.819444,1.000000,0.666667,0.611111,1.000000,1.000000,1.000000,1.000000,0.580645
noise,noise_prob,0.005,70,57,0.814286,0.823329,0.818281,0.819444,1.000000,0.666667,0.611111,1.000000,1.000000,1.000000,1.000000,0.580645
noise,noise_prob,0.01,70,57,0.814286,0.823329,0.818281,0.819444,1.000000,0.666667,0.611111,1.000000,1.000000,1.000000,1.000000,0.580645
noise,noise_prob,0.02,68,50,0.735294,0.753117,0.752508,0.736111,0.666667,0.666667,0.611111,1.000000,1.000000,1.000000,1.000000,0.485714
noise,noise_prob,0.05,66,45,0.681818,0.672193,0.688284,0.660256,0.307692,0.666667,0.666667,1.000000,1.000000,1.000000,1.000000,0.447368
noise,noise_prob,0.1,51,15,0.294118,0.113636,0.133690,0.250000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.294118
noise,noise_prob,0.2,48,15,0.312500,0.119048,0.148810,0.250000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.312500
noise,noise_prob,0.3,55,20,0.363636,0.289291,0.295388,0.356061,0.090909,0.066667,0.266667,1.000000,1.000000,1.000000,1.000000,0.285714
baseline_wander,wander_hz,0,70,57,0.814286,0.823329,0.818281,0.819444,1.000000,0.666667,0.611111,1.000000,1.000000,1.000000,1.000000,0.580645
baseline_wander,wander_hz,50,70,57,0.814286,0.823329,0.818281,0.819444,1.000000,0.666667,0.611111,1.000000,1.000000,1.000000,1.000000,0.580645
baseline_wander,wander_hz,100,70,57,0.814286,0.823329,0.818281,0.819444,1.000000,0.666667,0.611111,1.000000,1.000000,1.000000,1.000000,0.580645
baseline_wander,wander_hz,200,67,50,0.746269,0.743530,0.739702,0.750000,1.000000,0.352941,0.647059,1.000000,1.000000,1.000000,1.000000,0.500000
baseline_wander,wander_hz,400,46,10,0.217391,0.089286,0.077640,0.250000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.217391
baseline_wander,wander_hz,800,33,9,0.272727,0.107143,0.116883,0.250000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.272727
amp_jitter,qrs_freq_jitter,0,70,57,0.814286,0.823329,0.818281,0.819444,1.000000,0.666667,0.611111,1.000000,1.000000,1.000000,1.000000,0.580645
amp_jitter,qrs_freq_jitter,0.02,70,56,0.800000,0.808571,0.803102,0.805556,1.000000,0.555556,0.666667,1.000000,1.000000,1.000000,1.000000,0.562500
amp_jitter,qrs_freq_jitter,0.05,66,39,0.590909,0.554087,0.556816,0.575149,0.571429,0.062500,0.666667,1.000000,1.000000,1.000000,1.000000,0.400000
amp_jitter,qrs_freq_jitter,0.1,25,7,0.280000,0.200397,0.195873,0.321429,0.285714,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.217391
amp_jitter,qrs_freq_jitter,0.15,14,2,0.142857,0.062500,0.035714,0.250000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.142857
amp_jitter,qrs_freq_jitter,0.2,6,1,0.166667,0.071429,0.047619,0.250000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.166667
hrv,rr_jitter,0,70,57,0.814286,0.823329,0.818281,0.819444,1.000000,0.666667,0.611111,1.000000,1.000000,1.000000,1.000000,0.580645
